# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 18.05.2026
# TIME             : 08:48:59
# Par.Record       : Par.Record    02
# Meas. Point No.: : B:4700.01
# Outer Diameter  :     168.0 mm
# Wall Thickness  :       5.0 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      78.2 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        65
# MEASURE Stats -> Avg: -45.9916 | Median: -45.8100 | Mode: -45.4100 | Max: -39.9700 | Min: -51.0300
# SSPEED Stats -> Avg: 1308.6215 | Median: 1487.4000 | Mode: 1478.1000 | Max: 1505.2000 | Min: 14.0000

TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
08:48:59;B;???;31.0;
08:49:00;B;???;31.0;
08:49:01;B;???;31.0;
08:49:02;B;???;26.0;
08:49:03;B;???;26.0;
08:49:04;B;???;26.0;
08:49:05;B;-39.97;1458.0;34.0;
08:49:06;B;-39.97;1458.0;34.0;
08:49:07;B;-43.43;1472.1;41.0;
08:49:08;B;-47.17;1472.1;41.0;
08:49:09;B;-48.41;1480.0;43.0;
08:49:10;B;-51.03;1480.0;43.0;
08:49:11;B;-50.07;1480.8;45.0;
08:49:12;B;-48.33;1478.5;45.0;
08:49:13;B;-46.7;1478.5;45.0;
08:49:14;B;-46.07;1480.2;45.0;
08:49:15;B;-45.81;1478.1;44.0;
08:49:16;B;-45.14;1478.1;44.0;
08:49:17;B;-44.01;1477.5;42.0;
08:49:18;B;-43.99;1479.3;42.0;
08:49:19;B;-44.97;1479.3;42.0;
08:49:20;B;-44.58;1478.6;42.0;
08:49:21;B;-44.05;1478.1;42.0;
08:49:22;B;-43.77;1478.1;42.0;
08:49:23;B;-44.78;1478.0;42.0;
08:49:24;B;-44.73;1478.0;42.0;
08:49:25;B;-43.95;1478.0;42.0;
08:49:26;B;-45.01;1477.9;40.0;
08:49:27;B;-45.53;1496.8;38.0;
08:49:28;B;-45.11;1496.8;38.0;
08:49:29;B;-44.91;1500.7;38.0;
08:49:30;B;-45.28;1504.0;39.0;
08:49:31;B;-45.41;1504.0;39.0;
08:49:32;B;-46.22;1504.2;39.0;
08:49:33;B;-47.06;1504.4;40.0;
08:49:34;B;-47.06;1504.4;40.0;
08:49:35;B;-47.68;1504.9;40.0;
08:49:36;B;-47.65;1505.2;40.0;
08:49:37;B;-47.65;1505.2;40.0;
08:49:38;B;-47.89;1501.3;41.0;
08:49:39;B;-47.3;1499.9;40.0;
08:49:40;B;-46.89;1499.9;40.0;
08:49:41;B;-46.7;1499.2;40.0;
08:49:42;B;-46.5;1498.4;38.0;
08:49:43;B;-45.82;1497.8;38.0;
08:49:44;B;-45.41;1497.8;38.0;
08:49:45;B;-45.62;1497.1;38.0;
08:49:46;B;-45.78;1496.3;39.0;
08:49:47;B;-45.67;1496.3;39.0;
08:49:48;B;-45.72;1495.3;38.0;
08:49:49;B;-45.53;1495.3;38.0;
08:49:50;B;-45.39;1495.7;40.0;
08:49:51;B;-45.41;1494.0;42.0;
08:49:52;B;-45.52;1492.3;42.0;
08:49:53;B;-45.85;1492.3;42.0;
08:49:54;B;-46.17;1490.4;42.0;
08:49:55;B;-46.94;1489.4;42.0;
08:49:56;B;-47.1;1489.4;42.0;
08:49:57;B;-47.55;1488.3;41.0;
08:49:58;B;-47.6;1487.4;41.0;
08:49:59;B;-47.48;1487.4;41.0;
08:50:00;B;-48.09;1486.2;41.0;
08:50:01;B;-48.09;1486.2;41.0;
08:50:02;B;???;14.0;
08:50:03;B;???;14.0;
