source,target,cabal,planta,nom,0,Unnamed: 7,Unnamed: 8,color,Unnamed: 10
8105.0,0.0,200,torres,8105-0,1,7.7272727272727275,247.27272727272728,"rgba(247.272727272727,7.72727272727273,127.5, 0.4)","rgba(0,100,255,0.4)"
8107.0,0.0,200,torres,8107-0,1,7.7272727272727275,247.27272727272728,"rgba(247.272727272727,7.72727272727273,127.5, 0.4)",
8106.0,0.0,200,torres,8106-0,1,7.7272727272727275,247.27272727272728,"rgba(247.272727272727,7.72727272727273,127.5, 0.4)",
8108.0,0.0,200,torres,8108-0,1,7.7272727272727275,247.27272727272728,"rgba(247.272727272727,7.72727272727273,127.5, 0.4)",
8104.0,0.0,200,torres,8104-0,1,7.7272727272727275,247.27272727272728,"rgba(247.272727272727,7.72727272727273,127.5, 0.4)",
0.0,1.0,1000,distribució,0-1,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
1.0,2.0,900,distribució,1-2,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
2.0,53000.0,10,distribució,2-53000,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
2.0,3.0,890,distribució,2-3,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
3.0,51000.0,10,distribució,3-51000,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
3.0,4.0,880,distribució,3-4,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
4.0,5.0,880,distribució,4-5,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
4.0,22.0,0,distribució,4-22,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
5.0,6.0,780,distribució,5-6,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
6.0,22.0,20,distribució,6-22,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
6.0,7.0,760,distribució,6-7,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
7.0,8.0,660,distribució,7-8,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
8.0,9.0,650,distribució,8-9,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
9.0,10.0,600,distribució,9-10,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
10.0,11.0,300,distribució,10-11,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
11.0,12.0,150,distribució,11-12,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
12.0,13.0,125,distribució,12-13,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
13.0,14.0,25,distribució,13-14,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
14.0,15.0,25,distribució,14-15,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
15.0,16.0,25,distribució,15-16,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
16.0,17.0,10,distribució,16-17,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
17.0,18.0,0,distribució,17-18,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
18.0,21.0,0,distribució,18-21,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
11.0,19.0,150,distribució,11-19,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
19.0,20.0,30,distribució,19-20,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
20.0,21.0,10,distribució,20-21,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
22.0,23.0,20,distribució,22-23,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
23.0,24.0,10,distribució,23-24,2,15.454545454545455,239.54545454545453,"rgba(239.545454545455,15.4545454545455,127.5, 0.4)",
1180.01,1181.0,0,grups fred assecat,1180.01-1181,3,23.181818181818183,231.8181818181818,"rgba(231.818181818182,23.1818181818182,127.5, 0.4)",
1180.02,1182.0,50,grups fred assecat,1180.02-1182,3,23.181818181818183,231.8181818181818,"rgba(231.818181818182,23.1818181818182,127.5, 0.4)",
1180.03,1191.0,0,grups fred assecat,1180.03-1191,3,23.181818181818183,231.8181818181818,"rgba(231.818181818182,23.1818181818182,127.5, 0.4)",
1180.03,1192.0,50,grups fred assecat,1180.03-1192,3,23.181818181818183,231.8181818181818,"rgba(231.818181818182,23.1818181818182,127.5, 0.4)",
8109.0,1160.01,100,grups fred extracció,8109-1160.01,4,30.90909090909091,224.0909090909091,"rgba(224.090909090909,30.9090909090909,127.5, 0.4)",
1160.01,1160.0,50,grups fred extracció,1160.01-1160,4,30.90909090909091,224.0909090909091,"rgba(224.090909090909,30.9090909090909,127.5, 0.4)",
1160.01,1170.0,50,grups fred extracció,,4,30.90909090909091,224.0909090909091,"rgba(224.090909090909,30.9090909090909,127.5, 0.4)",
5.0,3100.01,100,PEC,5-3100.01,5,38.63636363636364,216.36363636363637,"rgba(216.363636363636,38.6363636363636,127.5, 0.4)",
3100.01,3100.02,20,PEC,,5,38.63636363636364,216.36363636363637,"rgba(216.363636363636,38.6363636363636,127.5, 0.4)",
3100.01,3100.03,80,PEC,,5,38.63636363636364,216.36363636363637,"rgba(216.363636363636,38.6363636363636,127.5, 0.4)",
3100.02,3150.0,20,PEC,3100.02-3150,5,38.63636363636364,216.36363636363637,"rgba(216.363636363636,38.6363636363636,127.5, 0.4)",
3100.03,3101.0,40,PEC,3100.03-3101,5,38.63636363636364,216.36363636363637,"rgba(216.363636363636,38.6363636363636,127.5, 0.4)",
