source,target,color,cabal m3h,esquema
assecat,S-2100/S-2200,"rgba(0,0,0, 0.4)",,1
assecat,S-600,"rgba(0,0,0, 0.4)",,1
assecat,S-6000,"rgba(0,0,0, 0.4)",,1
BV-104,colector,"rgba(0,255,0, 0.4)",203.0,1
BV-105,colector,"rgba(0,255,0, 0.4)",222.0,1
BV-106,colector,"rgba(0,255,0, 0.4)",191.0,1
BV-107,colector,"rgba(0,255,0, 0.4)",205.0,1
BV-108,colector,"rgba(0,255,0, 0.4)",231.0,1
BV-109,Y-160,"rgba(0,255,0, 0.4)",75.0,1
BV-109,Y-170,"rgba(0,255,0, 0.4)",72.0,1
colector,assecat,"rgba(0,0,0, 0.4)",78.99795165482517,1
colector,E-700,"rgba(255,255,0, 0.4)",129.48513944741836,1
colector,E-900/E-1000,"rgba(0,255,0, 0.4)",321.0,1
colector,ext-nord,"rgba(0,255,0, 0.4)",87.0,1
colector,ext-sud,"rgba(255,255,0, 0.4)",129.48513944741836,1
colector,GF-ASS,"rgba(0,0,0, 0.4)",100.46507000896433,1
colector,nautas,"rgba(0,0,0, 0.4)",15.944518911578967,1
colector,PEC,"rgba(0,255,0, 0.4)",124.0,1
colector,SS-700B,"rgba(255,255,0, 0.4)",32.97918304032421,1
colector,V-700/V-800,"rgba(0,255,0, 0.4)",42.5,1
E-100,E-101,"rgba(0,255,0, 0.4)",79.60554447,1
E-100,E-102,"rgba(0,255,0, 0.4)",22.236570419999996,1
E-150,ED-150,"rgba(255,255,0, 0.4)",8.336659070864673,1
E-150,EI-150,"rgba(0,255,0, 0.4)",28.217898310000002,1
E-700,EI-733,"rgba(0,255,0, 0.4)",20.000000000000004,1
E-700,EI-7x2,"rgba(0,255,0, 0.4)",41.0,1
E-700,ER-750,"rgba(0,0,0, 0.4)",0.0,1
E-700,ER-770,"rgba(0,0,0, 0.4)",0.0,1
E-700,Y-120,"rgba(0,255,0, 0.4)",75.0,1
E-800,EI-801,"rgba(0,255,0, 0.4)",10.190084069999997,1
E-800,EI-806,"rgba(0,255,0, 0.4)",32.80141863,1
E-900/E-1000,EI-1001,"rgba(0,255,0, 0.4)",67.0,1
E-900/E-1000,EI-1006,"rgba(0,255,0, 0.4)",44.0,1
E-900/E-1000,EI-901,"rgba(0,255,0, 0.4)",47.0,1
E-900/E-1000,EI-906,"rgba(0,255,0, 0.4)",150.0,1
EI-7x2,EI-752,"rgba(0,255,0, 0.4)",23.5,1
EI-7x2,EI-772,"rgba(0,255,0, 0.4)",17.5,1
ext-nord,E-800,"rgba(0,255,0, 0.4)",56.38497407,1
ext-nord,SIL-PEL,"rgba(0,255,0, 0.4)",30.4,1
ext-sud,L-660,"rgba(255,255,0,0.4)",13.8940359441001,1
ext-sud,L-670,"rgba(255,255,0, 0.4)",1.0,1
ext-sud,P-400,"rgba(0,255,0, 0.4)",13.60189704,1
ext-sud,P-600,"rgba(0,255,0, 0.4)",10.82282888,1
ext-sud,SS-800,"rgba(255,255,0,0.4)",32.97918304032421,1
ext-sud,R-150,"rgba(255,255, 0, 0.4)",18.5,1
GF-ASS,Y-180,"rgba(0,0,0, 0.4)",,1
GF-ASS,Y-190,"rgba(0,0,0, 0.4)",,1
L-660,LI-651,"rgba(255,255,0, 0.4)",3.8707563084879837,1
L-660,LI-660,"rgba(255,255,0, 0.4)",5.0590982872275125,1
L-670,LI-671,"rgba(0,255,0, 0.4)",8.168631773,1
L-670,SB-670,"rgba(255,255,0, 0.4)",32.97918304032421,1
