source,target,color,DN,OD mm,WT mm,area m2,velocitat ms,cabal m3s,cabal m3h,cabal kgh
AZ-101,impulsio,"rgba(0,100,255,0.4)",200.0,222.0,3.0,0.036643536711471345,1,0.036643536711471345,131.91673216129684,131916.73216129682
AZ-102,impulsio,"rgba(0,100,255,0.4)",200.0,222.0,3.0,0.036643536711471345,1,0.036643536711471345,131.91673216129684,131916.73216129682
AZ-103,impulsio,"rgba(0,100,255,0.4)",200.0,222.0,3.0,0.036643536711471345,1,0.036643536711471345,131.91673216129684,131916.73216129682
AZ-104,impulsio,"rgba(0,100,255,0.4)",200.0,222.0,3.0,0.036643536711471345,1,0.036643536711471345,131.91673216129684,131916.73216129682
BV-104,colector,"rgba(0,255,0, 0.4)",150.0,168.3,3.0,0.02068840078751958,3,0.06206520236255874,223.43472850521147,223434.72850521147
BV-105,colector,"rgba(0,255,0, 0.4)",150.0,168.3,3.0,0.02068840078751958,3,0.06206520236255874,223.43472850521147,223434.72850521147
BV-106,colector,"rgba(0,255,0, 0.4)",150.0,168.3,3.0,0.02068840078751958,3,0.06206520236255874,223.43472850521147,223434.72850521147
BV-107,colector,"rgba(0,255,0, 0.4)",150.0,168.3,3.0,0.02068840078751958,3,0.06206520236255874,223.43472850521147,223434.72850521147
BV-108,colector,"rgba(0,255,0, 0.4)",150.0,168.3,3.0,0.02068840078751958,3,0.06206520236255874,223.43472850521147,223434.72850521147
BV-109,Y-120,"rgba(0,255,0, 0.4)",129.0,129.0,3.0,0.011882288814039995,1,0.011882288814039995,42.77623973054398,42776.23973054398
BV-109,Y-160,"rgba(0,255,0, 0.4)",129.0,129.0,3.0,0.011882288814039995,1,0.011882288814039995,42.77623973054398,42776.23973054398
BV-109,Y-170,"rgba(0,255,0, 0.4)",100.0,114.0,3.0,0.009160884177867836,1,0.009160884177867836,32.97918304032421,32979.183040324206
colector,GF-ass,"rgba(0,0,0, 0.4)",,188.5,,0.02790696389137898,1,0.02790696389137898,100.46507000896433,100465.07000896434
colector,nautas,"rgba(0,0,0, 0.4)",,,,0.0,1,0.0,0.0,0.0
colector,assecat,"rgba(0,0,0, 0.4)",,,,0.0,1,0.0,0.0,0.0
colector,PEC,"rgba(0,255,0, 0.4)",200.0,220.0,3.0,0.03596809429094954,1,0.03596809429094954,129.48513944741836,129485.13944741836
colector,V-700/V-800,"rgba(0,255,0, 0.4)",150.0,168.3,3.0,0.02068840078751958,1,0.02068840078751958,74.47824283507049,74478.24283507049
colector,E-900/E-1000,"rgba(0,255,0, 0.4)",204.0,204.0,3.0,0.030790749597833563,1,0.030790749597833563,110.84669855220082,110846.69855220082
colector,ext-sud,"rgba(255,255,0, 0.4)",200.0,220.0,3.0,0.03596809429094954,1,0.03596809429094954,129.48513944741836,129485.13944741836
colector,ext-nord,"rgba(0,255,0, 0.4)",250.0,273.0,3.0,0.055990249670440695,1,0.055990249670440695,201.5648988135865,201564.8988135865
colector,E-700,"rgba(255,255,0, 0.4)",200.0,220.0,3.0,0.03596809429094954,1,0.03596809429094954,129.48513944741836,129485.13944741836
colector,SS-700B,"rgba(255,255,0, 0.4)",100.0,114.0,3.0,0.009160884177867836,1,0.009160884177867836,32.97918304032421,32979.183040324206
E-100,E-101,"rgba(0,255,0, 0.4)",80.0,88.9,3.0,0.005397578192114258,1,0.005397578192114258,19.43128149161133,19431.28149161133
E-100,E-102,"rgba(0,255,0, 0.4)",80.0,88.9,3.0,0.005397578192114258,1,0.005397578192114258,19.43128149161133,19431.28149161133
E-150,EI-150,"rgba(0,255,0, 0.4)",50.0,60.3,3.0,0.0023157386307957424,1,0.0023157386307957424,8.336659070864673,8336.659070864673
E-150,ED-150,"rgba(255,255,0, 0.4)",50.0,60.3,3.0,0.0023157386307957424,1,0.0023157386307957424,8.336659070864673,8336.659070864673
E-700,ER-770,"rgba(0,0,0, 0.4)",,,,0.0,1,0.0,0.0,0.0
E-700,ER-750,"rgba(0,0,0, 0.4)",,,,0.0,1,0.0,0.0,0.0
E-700,EI-733,"rgba(0,255,0, 0.4)",80.0,88.9,3.0,0.005397578192114258,1,0.005397578192114258,19.43128149161133,19431.28149161133
E-700,Y-120,"rgba(0,255,0, 0.4)",125.0,141.0,3.0,0.014313881527918496,1,0.014313881527918496,51.529973500506586,51529.97350050659
E-700,EI-7x2,"rgba(0,255,0, 0.4)",100.0,114.0,3.0,0.009160884177867836,1,0.009160884177867836,32.97918304032421,32979.183040324206
E-800,EI-801,"rgba(0,255,0, 0.4)",80.0,88.9,3.0,0.005397578192114258,1,0.005397578192114258,19.43128149161133,19431.28149161133
E-800,EI-806,"rgba(0,255,0, 0.4)",125.0,139.7,3.0,0.014039534095462129,1,0.014039534095462129,50.54232274366366,50542.32274366366
E-900/E-1000,EI-906,"rgba(0,255,0, 0.4)",125.0,139.7,3.0,0.014039534095462129,1,0.014039534095462129,50.54232274366366,50542.32274366366
E-900/E-1000,EI-1006,"rgba(0,255,0, 0.4)",125.0,139.7,3.0,0.014039534095462129,1,0.014039534095462129,50.54232274366366,50542.32274366366
E-900/E-1000,EI-901,"rgba(0,255,0, 0.4)",80.0,88.9,3.0,0.005397578192114258,1,0.005397578192114258,19.43128149161133,19431.28149161133
E-900/E-1000,EI-1001,"rgba(0,255,0, 0.4)",80.0,88.9,3.0,0.005397578192114258,1,0.005397578192114258,19.43128149161133,19431.28149161133
EI-7x2,EI-752,"rgba(0,255,0, 0.4)",80.0,88.9,3.0,0.005397578192114258,1,0.005397578192114258,19.43128149161133,19431.28149161133
EI-7x2,EI-772,"rgba(0,255,0, 0.4)",65.0,76.1,3.0,0.0038594544289166943,1,0.0038594544289166943,13.8940359441001,13894.0359441001
ext-nord,SIL-PEL,"rgba(0,255,0, 0.4)",100.0,114.0,3.0,0.009160884177867836,1,0.009160884177867836,32.97918304032421,32979.183040324206
ext-nord,E-800,"rgba(0,255,0, 0.4)",204.0,204.0,3.0,0.030790749597833563,1,0.030790749597833563,110.84669855220082,110846.69855220082
ext-sud,P-400,"rgba(0,255,0, 0.4)",80.0,88.9,3.0,0.005397578192114258,1,0.005397578192114258,19.43128149161133,19431.28149161133
ext-sud,P-600,"rgba(0,255,0, 0.4)",50.0,60.3,3.0,0.0023157386307957424,1,0.0023157386307957424,8.336659070864673,8336.659070864673
ext-sud,LIQ-LIQ,"rgba(255,255,0,0.4)",65.0,76.1,3.0,0.0038594544289166943,1,0.0038594544289166943,13.8940359441001,13894.0359441001
ext-sud,SS-800,"rgba(255,255,0,0.4)",100.0,114.0,3.0,0.009160884177867836,1,0.009160884177867836,32.97918304032421,32979.183040324206
impulsio,BV-105,"rgba(0,255,0, 0.4)",200.0,222.0,3.0,0.036643536711471345,1,0.036643536711471345,131.91673216129684,131916.73216129682
impulsio,BV-107,"rgba(0,255,0, 0.4)",200.0,222.0,3.0,0.036643536711471345,1,0.036643536711471345,131.91673216129684,131916.73216129682
impulsio,BV-106,"rgba(0,255,0, 0.4)",200.0,222.0,3.0,0.036643536711471345,1,0.036643536711471345,131.91673216129684,131916.73216129682
