source,target,color,cabal,Unnamed: 4
8104.0,0.0,"rgba(0,255,0, 0.4)",1,
8108.0,0.0,"rgba(0,255,0, 0.4)",1,
8106.0,0.0,"rgba(0,255,0, 0.4)",1,
8107.0,0.0,"rgba(0,255,0, 0.4)",1,
8105.0,0.0,"rgba(0,255,0, 0.4)",1,
0.0,1.0,"rgba(0,255,0, 0.4)",1,a
1.0,1180.0,"rgba(0,255,0, 0.4)",1,
1180.0,1181.0,"rgba(0,255,0, 0.4)",1,a
1180.0,1182.0,"rgba(0,255,0, 0.4)",1,
1180.0,1191.0,"rgba(0,255,0, 0.4)",1,a
1180.0,1192.0,"rgba(0,255,0, 0.4)",1,
1.0,2.0,"rgba(0,255,0, 0.4)",1,a
2.0,53000.0,"rgba(0,255,0, 0.4)",1,a
2.0,3.0,"rgba(0,255,0, 0.4)",1,
3.0,51000.0,"rgba(0,255,0, 0.4)",1,
3.0,4.0,"rgba(0,255,0, 0.4)",1,a
4.0,5.0,"rgba(0,255,0, 0.4)",1,
5.0,3100.0,"rgba(0,255,0, 0.4)",1,a
5.0,6.0,"rgba(0,255,0, 0.4)",1,
6.0,7.0,"rgba(0,255,0, 0.4)",1,a
7.0,3700.0,"rgba(0,255,0, 0.4)",1,a
7.0,8.0,"rgba(0,255,0, 0.4)",1,
8.0,4700.0,"rgba(0,255,0, 0.4)",1,a
8.0,9.0,"rgba(0,255,0, 0.4)",1,
9.0,5700.0,"rgba(0,255,0, 0.4)",1,a
9.0,10.0,"rgba(0,255,0, 0.4)",1,a
10.0,3900.01,"rgba(0,255,0, 0.4)",1,
3900.01,31001.0,"rgba(0,255,0, 0.4)",1,a
3900.01,3900.02,"rgba(0,255,0, 0.4)",1,
3900.02,3901.0,"rgba(0,255,0, 0.4)",1,
3900.02,3900.03,"rgba(0,255,0, 0.4)",1,
3900.03,31006.0,"rgba(0,255,0, 0.4)",1,
3900.03,3906.0,"rgba(0,255,0, 0.4)",1,
10.0,11.0,"rgba(0,255,0, 0.4)",1,
11.0,12.0,"rgba(0,255,0, 0.4)",1,
