source,target,color,DN,OD mm,WT mm,area m2,velocitat ms,cabal m3s,cabal m3h,cabal kgh
colector-caldera,extraccio,"rgba(0,100,255,0.4)",,,,0.017841175,,,521.0230952,2253.424887
colector-caldera,secadores,"rgba(0,255,0, 0.4)",80.0,88.9,3.3,0.00531973,7.5,0.039897971,143.6326972,621.2114154
colector-caldera,PEC,"rgba(0,255,0, 0.4)",125.0,141.0,3.3,0.01418693,2.5,0.032629938,117.4677785,508.048142
colector-caldera,Nautas,"rgba(255,255,0, 0.4)",65.0,76.0,,0.00453646,0.15,0.0,0.0,0.0
extraccio,colector-ext,"rgba(0,100,255, 0.4)",0.0,0.0,0.0,0.017841175,0.0,0.0,521.0230952,2253.424887
extraccio,E-700,"rgba(0,0,0, 0.4)",,,,,,,,
colector-ext,ext-nord,"rgba(0,100,255,0.4)",,88.9,,0.006207167,4.6,0.028552966,102.7906792,444.5696876
colector-ext,V800,"rgba(0,255,0, 0.4)",50.0,60.3,,0.002855778,13.54,0.03866724,139.2020627,602.0489213
colector-ext,V700,"rgba(0,255,0, 0.4)",50.0,78.0,,0.004778362,0.2,0.000955672,3.440420947,14.87982059
colector-ext,ext-sud,"rgba(0,255,0, 0.4)",100.0,114.0,,0.010207035,7.5,0.076552759,275.5899324,1191.926457
colector-ext,SS800,"rgba(0,0,0, 0.4)",,,,,,,,
colector-ext,E900/E1000,"rgba(0,0,0, 0.4)",,,,,,,,
secadores,atomizador,"rgba(0,100,255,0.4)",,,,0.003839733,,,17.09683628,73.94381691
atomizador,1a,"rgba(0,255,0, 0.4)",50.0,60.3,2.7,0.002367198,2.0,0.004734396,17.04382501,73.71454318
atomizador,2a,"rgba(255,255,0, 0.4)",40.0,48.3,2.5,0.001472535,0.01,1.47254e-05,0.053011266,0.229273725
secadores,S600,"rgba(0,255,0, 0.4)",65.0,73.0,2.7,0.003589081,0.1,0.000358908,1.2920692,5.58819929
secadores,S6000,"rgba(0,255,0, 0.4)",65.0,76.4,3.1,0.003870474,1.6,0.006192758,22.29392774,96.42123745
calddera,colector-caldera,"rgba(0,100,255,0.4)",,,,0.041884294,,,782.1235709,3382.684444
ext-nord,E888,"rgba(0,255,0, 0.4)",,88.9,,0.006207167,4.6,0.028552966,102.7906792,444.5696876
ext-nord,SS-700B,"rgba(255,0,255, 0.8)",,,,,,,,
ext-nord,SIL-PEL,"rgba(255,0,255, 0.8)",,,,,,,,
ext-nord,dutxes,"rgba(0,0,0, 0.4)",,,,,,,,
ext-sud,columnes,"rgba(0,0,0, 0.4)",,,,,,,,
ext-sud,LIQ-LIQ,"rgba(0,0,0, 0.4)",,,,,,,,
ext-sud,P600,"rgba(0,0,0, 0.4)",,,,,,,,
ext-sud,P400,"rgba(0,0,0, 0.4)",,,,,,,,
ext-sud,A-201,"rgba(0,0,0, 0.4)",,,,,,,,
