source,target,color,cabal,Unnamed: 4
8104,1,"rgba(0,255,0, 0.4)",270,
8108,1,"rgba(0,255,0, 0.4)",260,
8106,1,"rgba(0,255,0, 0.4)",0,
8107,1,"rgba(0,255,0, 0.4)",265,
8105,1,"rgba(0,255,0, 0.4)",0,
1,2,"rgba(0,0,255, 0.4)",776,a
1,1180,"rgba(0,255,0, 0.4)",19,
2,3,"rgba(0,0,255, 0.4)",766,a
2,53000,"rgba(0,255,0, 0.4)",10,
3,4,"rgba(0,0,255, 0.4)",756,a
3,51000,"rgba(0,255,0, 0.4)",10,
4,5,"rgba(0,0,255, 0.4)",755,a
4,6,"rgba(0,0,255, 0.4)",1,a
5,3100,"rgba(0,255,0, 0.4)",95,
5,7,"rgba(0,255,0, 0.4)",660,
6,50000,"rgba(0,0,255, 0.4)",1,a
7,8,"rgba(0,255,0, 0.4)",600,
7,9,"rgba(0,0,255, 0.4)",60,a
8,3700,"rgba(0,255,0, 0.4)",38,
8,10,"rgba(0,0,255, 0.4)",562,a
9,50000,"rgba(0,0,255, 0.4)",60,a
10,4700,"rgba(0,255,0, 0.4)",80,
10,11,"rgba(0,0,255, 0.4)",482,a
11,5700,"rgba(0,255,0, 0.4)",40,
11,12,"rgba(0,0,255, 0.4)",442,a
12,3900,"rgba(0,0,255, 0.4)",292,a
12,13,"rgba(0,255,0, 0.4)",150,
13,14,"rgba(0,0,255, 0.4)",100,a
13,15,"rgba(0,255,0, 0.4)",50,
