Filename;DEVICE;MODE;DATE;TIME;Par.Record;Meas. Point No.;Outer Diameter;Wall Thickness;Roughness;Pipe Material;Lining;Medium;Medium Temperat.;Transducer Type;Sound Path;Transd. Distance;Damping;Full-Scale Val.;Current Loop;Storage Rate;Physic. Quant.;Unit Of Measure;Numb.Of Meas.Val;MEASURE_Avg;MEASURE_Median;MEASURE_Mode;MEASURE_Max;MEASURE_Min;SSPEED_Avg;SSPEED_Median;SSPEED_Mode;SSPEED_Max;SSPEED_Min
260506_1152_000_88.csv;G 608ST-60802901;STORED;06.05.2026;11:52:21;;: B:000;88.9 mm;4.0 mm;0.1 mm;Carbon Steel;WITHOUT LINING;Water;20.0 C;CDM1N5213047;2 NUM;16.2 mm;10 s;m3/h;mA;00:00:01 SAMPLES;Volume flow;[m3/h]/[m3];544;;;;;;;;;;
260507_0721_47.11_88.csv;G 608ST-60802901;STORED;07.05.2026;07:21:11;;: B:47.11;88.9 mm;4.0 mm;0.1 mm;Carbon Steel;WITHOUT LINING;Water;20.0 C;CDM1N5213047;2 NUM;16.2 mm;10 s;m3/h;mA;00:00:01 SAMPLES;Volume flow;[m3/h]/[m3];152;0.1521;0.0000;0.0000;0.6500;0.0000;446.1178;31.0000;11.0000;2235.8000;11.0000
260507_0726_47.11_88.csv;G 608ST-60802901;STORED;07.05.2026;07:26:07;;: B:47.11;88.9 mm;4.0 mm;0.1 mm;Carbon Steel;WITHOUT LINING;Water;20.0 C;CDM1N5213047;2 NUM;16.2 mm;10 s;m3/h;mA;00:00:01 SAMPLES;Volume flow;[m3/h]/[m3];148;0.1883;0.0000;0.0000;1.4700;0.0000;288.3804;12.0000;11.0000;1615.5000;11.0000
260507_0739_47.11.3_43.csv;G 608ST-60802901;STORED;07.05.2026;07:39:44;;: B:47.11.3;43.5 mm;3.2 mm;0.0 mm;Stainless Steel;WITHOUT LINING;Water;20.0 C;CDM1N5213047;1 NUM;-34.8 mm;10 s;m3/h;mA;00:00:01 SAMPLES;Volume flow;[m3/h]/[m3];57;-0.0272;-0.0600;-0.0700;0.2100;-0.1900;872.6947;977.8000;19.0000;1532.5000;14.0000
260507_0754_4501_60.csv;G 608ST-60802901;STORED;07.05.2026;07:54:48;;: B:4501;60.5 mm;3.6 mm;0.1 mm;Carbon Steel;WITHOUT LINING;Water;20.0 C;CDM1N5213047;2 NUM;5.0 mm;10 s;m3/h;mA;00:00:01 SAMPLES;Volume flow;[m3/h]/[m3];142;8.1965;8.9600;8.9300;10.5000;-8.9000;1396.2852;1477.3000;1489.6000;1517.3000;11.0000
260507_0805_4601_76.csv;G 608ST-60802901;STORED;07.05.2026;08:05:47;;: B:4601;76.1 mm;3.6 mm;0.1 mm;Carbon Steel;WITHOUT LINING;Water;20.0 C;CDM1N5213047;2 NUM;5.9 mm;10 s;m3/h;mA;00:00:01 SAMPLES;Volume flow;[m3/h]/[m3];106;11.6642;11.9500;9.6900;12.6800;9.4700;1257.5066;1669.6000;32.0000;1795.5000;11.0000
260507_0808_4601_76.csv;G 608ST-60802901;STORED;07.05.2026;08:08:12;;: B:4601;76.1 mm;3.6 mm;0.1 mm;Carbon Steel;WITHOUT LINING;Water;20.0 C;CDM1N5213047;2 NUM;5.9 mm;10 s;m3/h;mA;00:00:01 SAMPLES;Volume flow;[m3/h]/[m3];24;9.0738;9.1650;9.3900;9.4800;8.3900;1479.6708;1479.6000;1481.3000;1488.8000;1474.0000
260507_0809_4602_76.csv;G 608ST-60802901;STORED;07.05.2026;08:09:24;;: B:4602;76.1 mm;3.6 mm;0.1 mm;Carbon Steel;WITHOUT LINING;Water;20.0 C;CDM1N5213047;2 NUM;5.9 mm;10 s;m3/h;mA;00:00:01 SAMPLES;Volume flow;[m3/h]/[m3];95;14.5421;15.6650;0.1300;18.8500;0.1300;1024.6937;1710.9000;38.0000;1947.8000;13.0000
260507_0812_4603_60.csv;G 608ST-60802901;STORED;07.05.2026;08:12:20;;: B:4603;60.3 mm;3.6 mm;0.1 mm;Carbon Steel;WITHOUT LINING;Water;20.0 C;CDM1N5213047;2 NUM;-6.3 mm;10 s;m3/h;mA;00:00:01 SAMPLES;Volume flow;[m3/h]/[m3];46;-0.0106;0.0100;0.0100;0.1400;-0.2400;2173.8714;3246.9500;44.0000;3876.1000;38.0000
260507_0819_4604_43.csv;G 608ST-60802901;STORED;07.05.2026;08:19:53;;: B:4604;43.0 mm;2.0 mm;0.0 mm;Stainless Steel;WITHOUT LINING;Water;20.0 C;CDM1N5213047;1 NUM;-36.8 mm;10 s;m3/h;mA;00:00:01 SAMPLES;Volume flow;[m3/h]/[m3];107;5.9901;6.1000;5.7400;6.7000;3.9400;1025.1430;1372.1000;19.0000;1429.1000;16.0000
