Filename;POINTNAME;Type;DATE;TIME;A Volumetric flow rate [m3/h]_Avg;A Volumetric flow rate [m3/h]_Median;A Volumetric flow rate [m3/h]_Mode;A Volumetric flow rate [m3/h]_Max;A Volumetric flow rate [m3/h]_Min
251013_0000_8100_Type2.csv;8100;Type2;251013;0000;39.4574;177.5907;177.9919;208.2144;-217.3747
251013_0841_8100_Type2.csv;8100;Type2;251013;0841;39.4574;177.5907;177.9919;208.2144;-217.3747
251013_0900_8100_Type2.csv;8100;Type2;251013;0900;198.5981;202.0295;181.5356;229.9452;175.5848
251013_1020_8100_Type2.csv;8100;Type2;251013;1020;196.0978;203.4002;205.9410;218.5114;176.2534
251014_0000_8105_Type2.csv;8105;Type2;251014;0000;212.5942;212.6274;212.6274;215.7031;193.0362
251014_0000_8107_Type2.csv;8107;Type2;251014;0000;190.8791;190.8966;191.4315;193.3037;189.0244
251014_0000_8109_Type2.csv;8109;Type2;251014;0000;169.8756;169.9149;169.7981;172.3690;167.3440
251014_1048_8109_Type2.csv;8109;Type2;251014;1048;169.8756;169.9149;169.7981;172.3690;167.3440
251014_1215_8105_Type2.csv;8105;Type2;251014;1215;212.5942;212.6274;212.6274;215.7031;193.0362
251014_1308_8105_Type2.csv;8105;Type2;251014;1308;190.8791;190.8966;191.4315;193.3037;189.0244
251015_0902_8109_Type2.csv;8109;Type2;251015;0902;149.2995;148.7926;146.3361;168.0935;144.9324
251015_0910_8109_Type2.csv;8109;Type2;251015;0910;134.0560;133.6053;133.0332;138.0259;131.5770
251015_0916_8105_Type2.csv;8105;Type2;251015;0916;207.0953;207.8672;207.8004;208.6698;192.2170
251015_0917_8105_Type2.csv;8105;Type2;251015;0917;207.0953;207.8672;207.8004;208.6698;192.2170
251015_0922_8105_Type2.csv;8105;Type2;251015;0922;208.3321;207.2653;207.7335;223.1162;200.0421
251015_0922_8107_Type2.csv;8107;Type2;251015;0922;208.3321;207.2653;207.7335;223.1162;200.0421
251015_0931_8106_Type2.csv;8106;Type2;251015;0931;181.2502;177.9044;177.9044;228.4667;174.6941
251015_0939_8108_Type2.csv;8108;Type2;251015;0939;225.8374;226.9619;227.9317;229.2693;204.0550
251015_0945_8104_Type2.csv;8104;Type2;251015;0945;204.9245;205.0582;205.5933;206.5965;199.4402
251015_1000_8109_Type2.csv;8109;Type2;251015;1000;168.2015;167.3917;165.1692;174.9951;164.8182
251015_1002_8109_Type2.csv;8109;Type2;251015;1002;168.2015;167.3917;165.1692;174.9951;164.8182
251015_1005_8109_Type2.csv;8109;Type2;251015;1005;145.4988;147.5431;156.2282;156.2282;133.2413
251015_1012_8105_Type2.csv;8105;Type2;251015;1012;196.5800;197.4493;199.6558;201.5948;185.3469
251015_1019_8105_Type2.csv;8105;Type2;251015;1019;193.3801;193.5712;193.5712;194.9084;188.8907
251015_1021_8100_Type2.csv;8100;Type2;251015;1021;196.0786;182.6055;179.3960;231.8173;177.1895
251015_1021_8106_Type2.csv;8106;Type2;251015;1021;179.1381;179.2623;179.3960;179.6635;177.1895
251015_1021_8107_Type2.csv;8107;Type2;251015;1021;193.3801;193.5712;193.5712;194.9084;188.8907
