POINTNAME;Occurrences
573-03;22
8105;20
3906;16
3900.03;13
05.06;11
8107;10
8106;10
06.07;10
8108;9
3100.03;9
3100.01;8
573-07;8
8109;7
8104;7
3900.01;7
573-04;6
8100;6
31006;6
3800.01;6
3900.02;6
4500.01;6
4700.01;6
3700.01;5
1191;5
573-08;4
573-10;4
573-01;4
3806;4
3801;4
1192;4
373-02;3
573-02;3
3150;3
573-05;3
5800.01;3
11.12;3
4710;3
1181;3
573-11;2
00.01;2
3102;2
10.11;2
1120;2
1170;2
5700;2
1182;2
47.10;2
4700;2
47.17;2
47.16;2
06.22;2
3800;1
1160;1
3100.02;1
4202;1
4303;1
5801;1
5802;1
000;1
52100.01;1
52107;1
52207;1
5601;1
0914;1
47.11.3;1
4501;1
4600.01;1
5600.01;1
47.19;1
4810;1
4740;1
4200.01;1
39006;1
31001;1
3901;1
5700.01;1
