Meas. Point No.;Occurrences
: B:4700.01;6
: B:1191;5
: B:47.09;5
: B:47.08;5
: B:1181;4
: B:1192;4
: B:3900.01;4
: B:3700.01;4
: B:05.06;4
: A:7357;3
: B:4711;3
: B:1-170;2
: B:47-5;2
: B:47-3;2
: B:47-2;2
: B:47-4;2
: B:000;2
: B:1182;2
: B:47.11;2
: B:4601;2
: B:4602;2
: B:4605;2
: B:47.10;2
: B:4700;2
: B:47.17;2
: B:47.16;2
: B:3806;2
: B:3801;2
: B:3900.02;2
: B:47-6.7;2
: B:5800.01;2
: B:8107;2
: B:8105;2
: B:06.07;2
: B:3100.01;2
: A:573-5;1
: B:-200-02;1
: B:-710-01;1
: B:323;1
: B:273;1
: B:1-120;1
: B:1-160;1
: B:3-100-01;1
: B:3-100-02;1
: B:3-100-04;1
: A:3-900-08;1
: B:3-700-01;1
: A:3-800-02;1
: A:3-800-03;1
: B:3-900-01;1
: B:3-900-02;1
: B:3-900-04;1
: A:3-900-09;1
: B:-303;1
: B:31-701;1
: B:5-800-01;1
: B:5-800-02;1
: B:5-800-03;1
: A:47-8;1
: B:52101;1
: B:52107;1
: B:52207;1
: B:5601;1
: B:47.11.3;1
: B:4501;1
: B:4603;1
: B:4604;1
: B:47.19;1
: B:4811;1
: B:4741;1
: B:47.05;1
: B:47-1;1
: B:4200.01;1
: B:3906;1
: B:31006;1
: B:3900.03;1
: B:31001;1
: B:3901;1
: B:5700.01;1
: B:47-6.22;1
: B:47-5.6;1
: B:47-10.11;1
: B:47-11.12;1
: B:1120;1
: B:06.22;1
