Index	Date	Trigger	A Flow velocity [m/s]	A Volumetric flow rate [m³/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	1/8/2026 11:24:47 AM		NaN	NaN	∞	15	15	15	126.650001525879	0	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
2	1/8/2026 11:24:48 AM		NaN	NaN	∞	15	15	15	126.650001525879	0	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
3	1/8/2026 11:24:49 AM		NaN	NaN	∞	15	15	15	126.650001525879	0	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
4	1/8/2026 11:24:50 AM		NaN	NaN	∞	15	15	15	126.650001525879	0	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
5	1/8/2026 11:24:51 AM		NaN	NaN	∞	15	15	15	126.650001525879	0	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
6	1/8/2026 11:24:52 AM		NaN	NaN	∞	15	15	15	126.650001525879	0	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
7	1/8/2026 11:24:53 AM		NaN	NaN	∞	15	15	15	126.650001525879	0	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
8	1/8/2026 11:24:54 AM		NaN	NaN	∞	15	15	15	126.650001525879	0	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
9	1/8/2026 11:24:55 AM		NaN	NaN	∞	15	15	15	126.650001525879	0	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
10	1/8/2026 11:24:56 AM		NaN	NaN	∞	15	15	64	53.6399993896484	∞	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
11	1/8/2026 11:24:57 AM		NaN	NaN	∞	15	15	64	53.6399993896484	∞	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
12	1/8/2026 11:24:58 AM		0.507516086101532	10.3432626463473	1460.541015625	15	15	74	38.7400016784668	99	50	3	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
13	1/8/2026 11:24:59 AM		0.511139869689941	10.4171155951917	1460.64794921875	15	15	75	37.25	99	50	11	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
14	1/8/2026 11:25:00 AM		0.504588067531586	10.2835893630981	1460.64794921875	15	15	75	37.25	99	50	11	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
15	1/8/2026 11:25:01 AM		0.501610815525055	10.2229136042297	1460.12805175781	15	15	68	47.6800003051758	100	50	18	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
16	1/8/2026 11:25:02 AM		0.496315598487854	10.1149949245155	1460.12805175781	15	15	68	47.6800003051758	100	50	18	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
17	1/8/2026 11:25:03 AM		0.49233478307724	10.0338656455278	1459.92102050781	15	15	70	44.7000007629395	99	50	21	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
18	1/8/2026 11:25:04 AM		0.486199885606766	9.90883531048894	1459.97497558594	15	15	70	44.7000007629395	97	50	26	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
19	1/8/2026 11:25:05 AM		0.484734535217285	9.87897142767906	1459.96704101562	15	15	74	38.7400016784668	99	50	29	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
20	1/8/2026 11:25:06 AM		0.501621425151825	10.2231290191412	1459.96704101562	15	15	74	38.7400016784668	99	50	29	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
21	1/8/2026 11:25:07 AM		0.515793859958649	10.5119660496712	1459.95104980469	15	15	74	38.7400016784668	100	50	31	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
22	1/8/2026 11:25:08 AM		0.49910643696785	10.1718736812472	1459.93005371094	15	15	74	38.7400016784668	99	50	34	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
23	1/8/2026 11:25:09 AM		0.488932192325592	9.96451964601874	1459.86804199219	15	15	73	40.2299995422363	99	49	37	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
24	1/8/2026 11:25:10 AM		0.493708074092865	10.0618536584079	1459.92102050781	15	15	73	40.2299995422363	99	49	40	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
25	1/8/2026 11:25:11 AM		0.503595054149628	10.2633512578905	1459.98999023438	15	15	73	40.2299995422363	99	50	41	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
26	1/8/2026 11:25:12 AM		0.503595054149628	10.2633512578905	1459.98999023438	15	15	73	40.2299995422363	99	50	41	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
27	1/8/2026 11:25:13 AM		NaN	NaN	∞	15	15	17	123.669998168945	99	50	34	0	254	2	0	0	0	0	0	0	0	0	0	0	0	0	15.2157428328213
