Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Supply temperature [°C]	A Return temperature [°C]	A Temp. diff. (return-supply) [K]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held
2	10/7/2025 10:03:41 AM		NaN	NaN	NaN	NaN	NaN	∞	37	61	27	108.769996643066	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0
3	10/7/2025 10:03:51 AM		NaN	NaN	NaN	NaN	NaN	∞	37	61	27	108.769996643066	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0
4	10/7/2025 10:04:01 AM		NaN	NaN	NaN	NaN	NaN	∞	38	62	27	108.769996643066	0	NaN	0	∞	∞	∞	0	0	0	0	0	1	0	0	0	0	0	0	0
5	10/7/2025 10:04:11 AM		NaN	NaN	NaN	NaN	NaN	∞	39	62	27	108.769996643066	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0
6	10/7/2025 10:04:21 AM		NaN	NaN	NaN	NaN	NaN	∞	40	63	27	108.769996643066	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0
7	10/7/2025 10:04:31 AM		NaN	NaN	NaN	NaN	NaN	∞	41	63	28	107.279998779297	0	NaN	0	∞	∞	∞	0	0	0	0	0	1	0	0	0	0	0	0	0
8	10/7/2025 10:04:41 AM		NaN	NaN	NaN	NaN	NaN	∞	41	63	28	107.279998779297	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0
9	10/7/2025 10:04:51 AM		NaN	NaN	NaN	NaN	NaN	∞	42	64	28	107.279998779297	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0
10	10/7/2025 10:05:01 AM		NaN	NaN	NaN	NaN	NaN	∞	43	65	27	108.769996643066	0	NaN	0	∞	∞	∞	0	0	0	0	0	1	0	0	0	0	0	0	0
11	10/7/2025 10:05:11 AM		0.179000005125999	8.8475564494729	NaN	NaN	NaN	∞	44	65	27	108.769996643066	0	2.45168069377542	-21	0	6	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
12	10/7/2025 10:05:21 AM		0.17399999499321	8.6075808852911	NaN	NaN	NaN	∞	44	66	27	108.769996643066	0	2.38319782074541	-21	0	6	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
13	10/7/2025 10:05:31 AM		0.172999992966652	8.55803126469254	NaN	NaN	NaN	∞	45	66	27	108.769996643066	0	2.36950137186795	-21	0	6	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
14	10/7/2025 10:05:41 AM		0.19200000166893	9.48577551171184	NaN	NaN	NaN	∞	46	66	27	108.769996643066	0	2.62973557692021	-23	-1	6	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
15	10/7/2025 10:05:51 AM		0.158999994397163	7.85835944116116	NaN	NaN	NaN	∞	46	66	27	108.769996643066	0	2.17774983029813	-23	-1	6	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
16	10/7/2025 10:06:01 AM		0.158999994397163	7.87063809111714	NaN	NaN	NaN	∞	47	67	27	108.769996643066	0	2.17774983029813	-23	-1	6	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
17	10/7/2025 10:06:11 AM		NaN	NaN	NaN	NaN	NaN	∞	48	67	27	108.769996643066	0	NaN	0	∞	∞	∞	0	0	0	0	0	1	0	0	0	0	0	0	0
18	10/7/2025 10:06:21 AM		NaN	NaN	NaN	NaN	NaN	∞	49	68	27	108.769996643066	0	NaN	0	∞	∞	∞	0	0	0	0	0	1	0	0	0	0	0	0	0
19	10/7/2025 10:06:31 AM		NaN	NaN	NaN	NaN	NaN	∞	49	69	27	108.769996643066	0	NaN	0	∞	∞	∞	0	0	0	0	0	1	0	0	0	0	0	0	0
20	10/7/2025 10:06:41 AM		0.188999995589256	9.37339346855879	NaN	NaN	NaN	∞	50	69	27	108.769996643066	0	2.58864602074027	-25	-2	6	∞	2	0	0	0	0	0	0	0	0	0	0	0	0
21	10/7/2025 10:06:51 AM		NaN	NaN	NaN	NaN	NaN	∞	50	69	28	107.279998779297	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0
22	10/7/2025 10:07:01 AM		NaN	NaN	NaN	NaN	NaN	∞	50	69	27	108.769996643066	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0
23	10/7/2025 10:07:11 AM		0.171000003814697	8.44334503635764	NaN	NaN	NaN	∞	50	69	27	108.769996643066	0	2.34210826456547	-20	-1	1	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
24	10/7/2025 10:07:21 AM		0.126000002026558	6.21179826557636	NaN	NaN	NaN	∞	52	70	27	108.769996643066	0	1.72576397890225	-20	-1	1	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
25	10/7/2025 10:07:31 AM		0.140000000596046	6.94349985569715	NaN	NaN	NaN	∞	52	70	27	108.769996643066	0	1.91751562524587	-20	-1	1	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
26	10/7/2025 10:07:41 AM		0.172999992966652	8.58313506469131	NaN	NaN	NaN	∞	53	71	27	108.769996643066	0	2.36950137186795	-20	0	1	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
27	10/7/2025 10:07:51 AM		0.187000006437302	9.27221300080419	NaN	NaN	NaN	∞	53	71	27	108.769996643066	0	2.56125291343778	-19	0	1	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
28	10/7/2025 10:08:01 AM		0.179000005125999	8.83361482992768	NaN	NaN	NaN	∞	54	72	27	108.769996643066	0	2.45168069377542	-18	0	1	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
29	10/7/2025 10:08:11 AM		0.187000006437302	9.26700867712498	NaN	NaN	NaN	∞	54	72	27	108.769996643066	0	2.56125291343778	-18	0	1	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
30	10/7/2025 10:08:21 AM		0.190999999642372	9.46546532213688	NaN	NaN	NaN	∞	55	72	27	108.769996643066	0	2.61603912804276	-18	-1	1	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
31	10/7/2025 10:08:31 AM		0.195999994874001	9.67853162437677	NaN	NaN	NaN	∞	55	72	27	108.769996643066	0	2.68452179152519	-18	-1	1	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
32	10/7/2025 10:08:41 AM		0.188999995589256	9.35191484168172	NaN	NaN	NaN	∞	56	73	27	108.769996643066	0	2.58864602074027	-18	-1	1	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
33	10/7/2025 10:08:51 AM		NaN	NaN	NaN	NaN	NaN	∞	57	73	28	107.279998779297	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0
34	10/7/2025 10:09:01 AM		NaN	NaN	NaN	NaN	NaN	∞	57	74	28	107.279998779297	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0
