Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Mass (+) [kg]	A Mass (-) [kg]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	10/8/2025 11:51:26 AM		NaN	NaN	∞	∞	∞	127	149	44	83.4400024414062	82	NaN	0	∞	∞	∞	0	0	0	0	0	1	0	0	0	0	0	0	0	139.191919191919
2	10/8/2025 11:51:36 AM		0.149000003933907	7.65372533351183	∞	∞	∞	127	149	44	83.4400024414062	82	2.04078450333327	-15	-1	8	∞	0	0	0	0	0	1	0	0	0	0	0	0	0	139.191919191919
3	10/8/2025 11:51:46 AM		0.144999995827675	7.44262291118503	∞	∞	∞	127	149	44	83.4400024414062	82	1.9859982887283	-15	-1	8	∞	0	0	0	0	0	1	0	0	0	0	0	0	0	139.191919191919
4	10/8/2025 11:51:56 AM		0.140000000596046	7.16872913762927	∞	∞	∞	127	149	44	83.4400024414062	82	1.91751562524587	-15	-1	8	∞	0	0	0	0	0	1	0	0	0	0	0	0	0	139.191919191919
5	10/8/2025 11:52:06 AM		0.144999995827675	7.42583563551307	∞	∞	∞	127	149	44	83.4400024414062	82	1.9859982887283	-14	0	8	∞	0	0	0	0	0	1	0	0	0	0	0	0	0	139.191919191919
6	10/8/2025 11:52:16 AM		0.149000003933907	7.6143111102283	∞	∞	∞	127	149	44	83.4400024414062	82	2.04078450333327	-14	0	8	∞	0	0	0	0	0	1	0	0	0	0	0	0	0	139.191919191919
7	10/8/2025 11:52:26 AM		0.151999995112419	7.78757845982909	∞	∞	∞	126	149	44	83.4400024414062	82	2.08187405951321	-14	0	8	∞	0	0	0	0	0	1	0	0	0	0	0	0	0	138.686868686869
8	10/8/2025 11:52:36 AM		0.150000005960464	7.66705004498363	∞	∞	∞	126	149	44	83.4400024414062	82	2.05448095221072	-14	0	8	∞	0	0	0	0	0	1	0	0	0	0	0	0	0	138.686868686869
9	10/8/2025 11:52:46 AM		0.148000001907349	7.55615746602416	∞	∞	∞	126	149	44	83.4400024414062	82	2.02708784490824	-14	0	8	∞	0	0	0	0	0	1	0	0	0	0	0	0	0	138.686868686869
10	10/8/2025 11:52:56 AM		0.149000003933907	7.64680439606309	∞	∞	∞	126	149	44	83.4400024414062	82	2.04078450333327	-14	0	8	∞	0	0	0	0	0	1	0	0	0	0	0	0	0	138.686868686869
11	10/8/2025 11:53:06 AM		0.142000004649162	7.28174652904272	∞	∞	∞	126	148	44	83.4400024414062	82	1.94490873254836	-14	0	8	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	138.181818181818
12	10/8/2025 11:53:16 AM		0.108999997377396	5.60734025202692	∞	∞	1653.19799804688	126	149	45	81.9499969482422	86	1.49292288115248	14	36	12	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	138.686868686869
13	10/8/2025 11:53:26 AM		0.0850000008940697	4.3353462126106	∞	∞	1647.72204589844	126	149	44	83.4400024414062	93	1.16420590784401	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	138.686868686869
