Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	11/18/2025 2:49:04 AM		NaN	NaN	∞	106	110	35	96.8499984741211	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	108.888888888889
2	11/18/2025 2:49:14 AM		3.48600006103516	112.60183006525	619.135986328125	106	110	35	96.8499984741211	18	29.5560657978058	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	108.888888888889
3	11/18/2025 2:49:24 AM		4.26900005340576	137.880080938339	629.739013671875	106	110	35	96.8499984741211	44	36.1947376281023	18	25	5	254	0	0	0	0	0	0	0	0	0	0	0	0	0	108.888888888889
4	11/18/2025 2:49:34 AM		1.76199996471405	56.9234624505043	615.515991210938	106	110	34	98.3399963378906	7	14.9391246959567	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	108.888888888889
5	11/18/2025 2:49:44 AM		1.6690000295639	53.9073888212442	630.758972167969	106	110	34	98.3399963378906	83	14.1506239771843	14	25	5	254	0	0	0	0	0	0	0	0	0	0	0	0	0	108.888888888889
6	11/18/2025 2:49:54 AM		3.04699993133545	98.4007939696312	620.512023925781	106	110	34	98.3399963378906	89	25.8340029045939	14	25	6	254	0	0	0	0	0	0	0	0	0	0	0	0	0	108.888888888889
7	11/18/2025 2:50:04 AM		2.18899989128113	70.710714161396	651.758972167969	106	110	35	96.8499984741211	20	18.5594463720918	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	108.888888888889
8	11/18/2025 2:50:14 AM		1.18299996852875	38.2060490548611	588.966979980469	106	110	34	98.3399963378906	32	10.0300711579621	11	25	5	254	0	0	0	0	0	0	0	0	0	0	0	0	0	108.888888888889
9	11/18/2025 2:50:24 AM		0.949000000953674	30.6464709341526	607.330993652344	106	110	34	98.3399963378906	37	8.04610066115856	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	108.888888888889
10	11/18/2025 2:50:34 AM		1.56299996376038	50.4715662449598	672.695983886719	106	110	34	98.3399963378906	31	13.2519029080868	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	108.888888888889
11	11/18/2025 2:50:44 AM		1.26400005817413	40.8282537013292	658.315002441406	106	110	34	98.3399963378906	42	10.7168298214674	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	108.888888888889
12	11/18/2025 2:50:54 AM		1.01499998569489	32.7913127839565	595.221984863281	106	110	34	98.3399963378906	42	8.60568238422275	17	25	4	254	0	0	0	0	0	0	0	0	0	0	0	0	0	108.888888888889
13	11/18/2025 2:51:04 AM		0.955999970436096	30.8893080800772	626.166015625	106	110	34	98.3399963378906	83	8.10545040294528	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	108.888888888889
14	11/18/2025 2:51:14 AM		1.01499998569489	32.7683966606855	612.330993652344	106	110	34	98.3399963378906	31	8.60568238422275	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	108.888888888889
15	11/18/2025 2:51:24 AM		NaN	NaN	∞	106	110	34	98.3399963378906	69	NaN	15	25	5	254	2	0	0	0	0	0	0	0	0	0	0	0	0	108.888888888889
16	11/18/2025 2:51:34 AM		0.986000001430511	31.8451199680567	630.901000976562	106	110	34	98.3399963378906	10	8.35980596020818	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0	108.888888888889
17	11/18/2025 2:51:44 AM		2.71199989318848	87.5829823315144	648.901977539062	106	110	34	98.3399963378906	67	22.9937044903636	10	25	5	254	0	0	0	0	0	0	0	0	0	0	0	0	0	108.888888888889
