timestamp,flow_m3h
2026-05-07 07:39:50,0.12
2026-05-07 07:39:51,0.03
2026-05-07 07:39:52,0.08
2026-05-07 07:39:53,0.07
2026-05-07 07:39:54,0.09
2026-05-07 07:39:55,0.21
2026-05-07 07:39:56,0.12
2026-05-07 07:39:57,0.11
2026-05-07 07:39:58,0.08
2026-05-07 07:40:01,0.13
2026-05-07 07:40:03,0.05
2026-05-07 07:40:04,-0.06
2026-05-07 07:40:05,-0.12
2026-05-07 07:40:06,-0.14
2026-05-07 07:40:07,0.01
2026-05-07 07:40:08,-0.06
2026-05-07 07:40:09,-0.09
2026-05-07 07:40:10,-0.07
2026-05-07 07:40:11,-0.07
2026-05-07 07:40:12,-0.09
2026-05-07 07:40:13,-0.1
2026-05-07 07:40:14,-0.13
2026-05-07 07:40:15,-0.16
2026-05-07 07:40:16,-0.07
2026-05-07 07:40:17,-0.19
2026-05-07 07:40:18,-0.16
2026-05-07 07:40:19,-0.11
2026-05-07 07:40:20,-0.09
2026-05-07 07:40:21,-0.08
2026-05-07 07:40:22,-0.05
2026-05-07 07:40:23,-0.03
2026-05-07 07:40:24,-0.01
2026-05-07 07:40:25,-0.08
2026-05-07 07:40:26,-0.07
2026-05-07 07:40:27,-0.06
2026-05-07 07:40:28,-0.04
2026-05-07 07:40:29,-0.02
2026-05-07 07:40:30,-0.01
2026-05-07 07:40:31,0.0
