Date,A Mass flow rate [kg/h]
12/9/2025 12:55:34 PM,
12/9/2025 12:55:35 PM,0
12/9/2025 12:55:36 PM,0
12/9/2025 12:55:37 PM,0
12/9/2025 12:55:38 PM,263.555762171745
12/9/2025 12:55:39 PM,263.555762171745
12/9/2025 12:55:40 PM,235.742247104645
12/9/2025 12:55:41 PM,0
12/9/2025 12:55:42 PM,0
12/9/2025 12:55:43 PM,0
12/9/2025 12:55:44 PM,0
12/9/2025 12:55:45 PM,272.086527943611
12/9/2025 12:55:46 PM,272.086527943611
12/9/2025 12:55:47 PM,308.017373085022
12/9/2025 12:55:48 PM,328.936484456062
12/9/2025 12:55:49 PM,283.501097559929
12/9/2025 12:55:50 PM,0
12/9/2025 12:55:51 PM,0
12/9/2025 12:55:52 PM,0
12/9/2025 12:55:53 PM,
12/9/2025 12:55:54 PM,-610.432469844818
12/9/2025 12:55:55 PM,
12/9/2025 12:55:56 PM,
12/9/2025 12:55:57 PM,-275.144836306572
12/9/2025 12:55:58 PM,0
12/9/2025 12:55:59 PM,
12/9/2025 12:56:00 PM,0
12/9/2025 12:56:01 PM,543.896466493607
12/9/2025 12:56:02 PM,0
12/9/2025 12:56:03 PM,549.874466657639
12/9/2025 12:56:04 PM,1226.21927261353
12/9/2025 12:56:05 PM,1226.21927261353
12/9/2025 12:56:06 PM,1328.85882854462
12/9/2025 12:56:07 PM,1328.85882854462
12/9/2025 12:56:08 PM,1358.00811052322
12/9/2025 12:56:09 PM,1358.00811052322
12/9/2025 12:56:10 PM,1707.06607103348
12/9/2025 12:56:11 PM,1814.76974487305
12/9/2025 12:56:12 PM,
12/9/2025 12:56:13 PM,
12/9/2025 12:56:14 PM,1634.88975763321
12/9/2025 12:56:15 PM,1759.41356420517
12/9/2025 12:56:16 PM,1647.98076152802
12/9/2025 12:56:17 PM,1113.41392993927
12/9/2025 12:56:18 PM,975.489592552185
12/9/2025 12:56:19 PM,1336.5819811821
12/9/2025 12:56:20 PM,1473.05717468262
12/9/2025 12:56:21 PM,1674.29612874985
12/9/2025 12:56:22 PM,1142.89290904999
12/9/2025 12:56:23 PM,
12/9/2025 12:56:24 PM,
12/9/2025 12:56:25 PM,
12/9/2025 12:56:26 PM,
12/9/2025 12:56:27 PM,
12/9/2025 12:56:28 PM,
12/9/2025 12:56:29 PM,
12/9/2025 12:56:30 PM,
12/9/2025 12:56:31 PM,
12/9/2025 12:56:32 PM,
12/9/2025 12:56:33 PM,
12/9/2025 12:56:34 PM,
12/9/2025 12:56:35 PM,
12/9/2025 12:56:36 PM,
12/9/2025 12:56:37 PM,
12/9/2025 12:56:38 PM,
12/9/2025 12:56:39 PM,
12/9/2025 12:56:40 PM,
12/9/2025 12:56:41 PM,
12/9/2025 12:56:42 PM,
12/9/2025 12:56:43 PM,
12/9/2025 12:56:44 PM,
12/9/2025 12:56:45 PM,
12/9/2025 12:56:46 PM,
12/9/2025 12:56:47 PM,
12/9/2025 12:56:48 PM,
12/9/2025 12:56:49 PM,
12/9/2025 12:56:50 PM,
12/9/2025 12:56:51 PM,
12/9/2025 12:56:52 PM,
12/9/2025 12:56:53 PM,
12/9/2025 12:56:54 PM,
12/9/2025 12:56:55 PM,
12/9/2025 12:56:56 PM,
12/9/2025 12:56:57 PM,
12/9/2025 12:56:58 PM,
12/9/2025 12:56:59 PM,
12/9/2025 12:57:00 PM,
12/9/2025 12:57:01 PM,672.757512331009
12/9/2025 12:57:02 PM,606.664127111435
12/9/2025 12:57:03 PM,527.715182304382
12/9/2025 12:57:04 PM,497.38889336586
12/9/2025 12:57:05 PM,443.678060173988
12/9/2025 12:57:06 PM,0
12/9/2025 12:57:07 PM,0
12/9/2025 12:57:08 PM,0
12/9/2025 12:57:09 PM,0
12/9/2025 12:57:10 PM,0
12/9/2025 12:57:11 PM,-215.778887271881
12/9/2025 12:57:12 PM,0
12/9/2025 12:57:13 PM,0
12/9/2025 12:57:14 PM,0
12/9/2025 12:57:15 PM,370.33659517765
12/9/2025 12:57:16 PM,518.73487830162
12/9/2025 12:57:17 PM,299.24056828022
12/9/2025 12:57:18 PM,0
12/9/2025 12:57:19 PM,0
12/9/2025 12:57:20 PM,
12/9/2025 12:57:21 PM,
12/9/2025 12:57:22 PM,
12/9/2025 12:57:23 PM,
12/9/2025 12:57:24 PM,0
12/9/2025 12:57:25 PM,0
12/9/2025 12:57:26 PM,444.99314725399
12/9/2025 12:57:27 PM,444.99314725399
12/9/2025 12:57:28 PM,972.602677345276
12/9/2025 12:57:29 PM,972.602677345276
12/9/2025 12:57:30 PM,925.274562835693
12/9/2025 12:57:31 PM,925.274562835693
12/9/2025 12:57:32 PM,1005.37326335907
12/9/2025 12:57:33 PM,1054.4323682785
12/9/2025 12:57:34 PM,983.782017230988
12/9/2025 12:57:35 PM,917.553126811981
12/9/2025 12:57:36 PM,603.377348184586
12/9/2025 12:57:37 PM,239.545539021492
12/9/2025 12:57:38 PM,238.351875543594
12/9/2025 12:57:39 PM,428.896594047546
12/9/2025 12:57:40 PM,646.392685174942
12/9/2025 12:57:41 PM,873.545157909393
12/9/2025 12:57:42 PM,420.242822170258
12/9/2025 12:57:43 PM,420.242822170258
12/9/2025 12:57:44 PM,517.931824922562
12/9/2025 12:57:45 PM,568.138217926025
12/9/2025 12:57:46 PM,542.499196529388
12/9/2025 12:57:47 PM,478.914642333984
12/9/2025 12:57:48 PM,230.29138147831
12/9/2025 12:57:49 PM,0
12/9/2025 12:57:50 PM,0
12/9/2025 12:57:51 PM,0
12/9/2025 12:57:52 PM,0
12/9/2025 12:57:53 PM,0
12/9/2025 12:57:54 PM,0
12/9/2025 12:57:55 PM,0
12/9/2025 12:57:56 PM,0
12/9/2025 12:57:57 PM,0
12/9/2025 12:57:58 PM,
12/9/2025 12:57:59 PM,
12/9/2025 12:58:00 PM,
12/9/2025 12:58:01 PM,
12/9/2025 12:58:02 PM,
12/9/2025 12:58:03 PM,
12/9/2025 12:58:04 PM,621.766948699951
12/9/2025 12:58:05 PM,
12/9/2025 12:58:06 PM,
12/9/2025 12:58:07 PM,6673.47893714905
12/9/2025 12:58:08 PM,10077.5897026062
12/9/2025 12:58:09 PM,14412.6239776611
12/9/2025 12:58:10 PM,15885.4871749878
12/9/2025 12:58:11 PM,17863.2459640503
12/9/2025 12:58:12 PM,20630.0960540771
12/9/2025 12:58:13 PM,22655.9320449829
12/9/2025 12:58:14 PM,26021.0443496704
12/9/2025 12:58:15 PM,27063.988494873
12/9/2025 12:58:16 PM,28390.0108337402
12/9/2025 12:58:17 PM,28831.4964294434
12/9/2025 12:58:18 PM,29249.8008728027
12/9/2025 12:58:19 PM,29962.8101348877
12/9/2025 12:58:20 PM,29450.1365661621
12/9/2025 12:58:21 PM,28902.3445129395
12/9/2025 12:58:22 PM,28474.7016906738
12/9/2025 12:58:23 PM,27904.3172836304
12/9/2025 12:58:24 PM,
12/9/2025 12:58:25 PM,
12/9/2025 12:58:26 PM,26901.6689300537
12/9/2025 12:58:27 PM,22006.5456390381
12/9/2025 12:58:28 PM,18111.4065170288
12/9/2025 12:58:29 PM,15882.1912765503
12/9/2025 12:58:30 PM,12490.9658432007
12/9/2025 12:58:31 PM,8047.39694595337
12/9/2025 12:58:32 PM,4304.11505699158
12/9/2025 12:58:33 PM,3741.83349609375
12/9/2025 12:58:34 PM,3535.75165271759
12/9/2025 12:58:35 PM,3360.90896129608
12/9/2025 12:58:36 PM,1261.32123470306
12/9/2025 12:58:37 PM,1227.48302221298
12/9/2025 12:58:38 PM,1200.76789855957
12/9/2025 12:58:39 PM,1178.37746143341
12/9/2025 12:58:40 PM,1157.7528834343
12/9/2025 12:58:41 PM,1194.56201791763
12/9/2025 12:58:42 PM,1208.30190181732
12/9/2025 12:58:43 PM,1228.85620594025
12/9/2025 12:58:44 PM,1308.00647735596
12/9/2025 12:58:45 PM,1278.91030311584
12/9/2025 12:58:46 PM,1267.13004112244
12/9/2025 12:58:47 PM,1296.12772464752
12/9/2025 12:58:48 PM,1307.17145204544
12/9/2025 12:58:49 PM,1387.04130649567
12/9/2025 12:58:50 PM,1378.75059843063
12/9/2025 12:58:51 PM,1349.27483797073
12/9/2025 12:58:52 PM,1390.07048606873
12/9/2025 12:58:53 PM,1511.03650331497
12/9/2025 12:58:54 PM,1421.77752256393
12/9/2025 12:58:55 PM,1335.0474357605
12/9/2025 12:58:56 PM,1284.23255681992
12/9/2025 12:58:57 PM,1345.34100294113
12/9/2025 12:58:58 PM,1263.31293582916
12/9/2025 12:58:59 PM,
