CHANNEL,MEASURE
,
A,???
A,588.75
A,580.82
A,627.01
A,622.87
A,615.41
A,607.09
A,612.58
A,622.27
A,612.68
A,620.64
A,619.14
A,620.11
A,619.37
A,626.05
A,629.32
A,619.84
A,622.74
A,628.02
A,620.18
A,633.89
A,635.72
A,627.77
A,624.94
A,628.38
A,624.89
A,627.83
A,625.09
A,625.48
A,629.77
A,627.79
A,632.3
A,628.79
A,625.48
A,618.55
A,623.28
A,625.93
A,625.18
A,624.07
A,624.41
A,629.83
A,619.29
A,623.24
A,627.36
A,626.5
A,624.76
A,629.16
A,622.69
A,629.04
A,623.44
A,626.89
A,625.65
A,625.28
A,623.26
A,628.47
A,632.03
A,619.47
A,626.25
A,624.08
A,622.03
A,631.89
A,625.13
A,631.34
A,624.66
A,623.5
A,627.23
A,625.27
A,632.2
A,632.16
A,627.16
A,624.54
A,632.14
A,622.49
A,620.65
A,617.56
A,615.63
A,617.52
A,630.73
A,621.86
A,627.51
A,623.73
A,627.08
A,620.85
A,617.81
A,621.63
A,618.95
A,617
A,625.62
A,603.59
A,608.4
A,610.23
A,610.54
A,603.72
A,610.74
A,614.6
A,618.96
A,613.42
A,620.78
A,616.26
A,621.41
A,619.58
A,611.01
A,610.09
A,616.59
A,614.45
A,608.63
A,615.37
A,617.69
A,617.09
A,618.29
A,618.31
A,613.76
A,617.02
A,626.89
A,620.11
A,613.59
A,620.95
A,613.27
A,612.88
A,615.68
A,617.53
A,617.11
A,617.86
A,618.56
A,606.53
A,609.52
A,609.26
A,606.24
A,600.38
A,613.52
A,600.61
A,613.34
A,595.45
A,595.28
A,609.42
A,589.3
A,604.86
A,608.37
A,593.34
A,598.59
A,602.73
A,594.22
A,596.8
A,598.09
A,602.72
A,598.76
A,600.92
A,602.78
A,597.52
A,596.34
A,594.81
A,595.12
A,591.19
A,597.39
A,588.64
A,593.37
A,591.3
A,597.98
A,596.03
A,590.22
A,596.71
A,601.23
A,610.87
A,604.68
A,606.37
A,606.86
A,605.89
A,602.86
A,597.17
A,601.85
A,602.43
A,591.95
A,599.61
A,602.21
A,600.65
A,597.93
A,594.57
A,620.7
A,605.98
A,599.48
A,595.54
A,604.5
A,591.42
A,593.58
A,594.64
A,592.51
A,593.46
A,591.76
A,595.11
A,583.03
A,588.55
A,590.26
A,598.74
A,604.44
A,599.64
A,607.41
A,603.3
A,596.32
A,595.3
A,593.92
A,590.03
A,599.01
A,601.23
A,579.84
A,592.73
A,591.72
A,594.42
A,590.19
A,592.18
A,588.32
A,590.77
A,590.37
A,591.85
A,587.97
A,587.46
A,592.64
A,588.75
A,583.23
A,584.48
A,583.96
A,582.41
A,583.17
A,586.54
A,587.79
A,589.54
A,588.39
A,587.86
A,586.52
A,582.38
A,598.46
A,588.82
A,599.01
A,591.76
A,590.52
A,597.24
A,591.89
A,593.75
A,590.11
