TIME,MEASURE
10:28:55,???
10:28:56,???
10:28:57,???
10:28:58,???
10:28:59,???
10:29:00,???
10:29:01,???
10:29:02,???
10:29:03,???
10:29:04,???
10:29:05,-60.59
10:29:06,???
10:29:07,???
10:29:08,???
10:29:09,???
10:29:10,???
10:29:11,???
10:29:12,-61.52
10:29:13,-62.65
10:29:14,-63.95
10:29:15,-65.86
10:29:16,-65.86
10:29:17,-65.58
10:29:18,???
10:29:19,???
10:29:20,???
10:29:21,???
10:29:22,-65.49
10:29:23,-63.53
10:29:24,-63.87
10:29:25,-63.87
10:29:26,-64.11
10:29:27,-63.37
10:29:28,-62.61
10:29:29,???
10:29:30,???
10:29:31,???
10:29:32,???
10:29:33,???
10:29:34,-61.8
10:29:35,???
10:29:36,???
10:29:37,???
10:29:38,???
10:29:39,???
10:29:40,???
10:29:41,???
10:29:42,???
10:29:43,???
10:29:44,???
10:29:45,???
10:29:46,???
10:29:47,???
10:29:48,???
10:29:49,???
10:29:50,???
10:29:51,???
10:29:52,???
10:29:53,???
10:29:54,???
10:29:55,???
10:29:56,???
10:29:57,???
10:29:58,???
10:29:59,???
10:30:00,???
10:30:01,???
10:30:02,???
10:30:03,???
10:30:04,???
10:30:05,???
10:30:06,-63.97
10:30:07,???
10:30:08,-64.39
10:30:09,-64.39
10:30:10,-64.39
10:30:11,-64.1
10:30:12,-64.25
10:30:13,-65.04
10:30:14,-65.04
10:30:15,-65.04
10:30:16,-65.49
10:30:17,-67.13
10:30:18,-67.56
10:30:19,-67.56
10:30:20,-67.56
10:30:21,-69.38
10:30:22,-70.16
10:30:23,-70.16
10:30:24,-70.16
10:30:25,-69.75
10:30:26,-68.74
10:30:27,-67.48
10:30:28,???
10:30:29,???
10:30:30,???
10:30:31,???
10:30:32,???
10:30:33,???
10:30:34,???
10:30:35,???
10:30:36,-68.25
10:30:37,-68.58
10:30:38,-68.85
10:30:39,-68.48
10:30:40,-68.48
10:30:41,-66.54
10:30:42,-64.79
10:30:43,-63.05
10:30:44,-61.8
10:30:45,-61.8
10:30:46,-60.37
10:30:47,-60.65
10:30:48,-61.53
10:30:49,-62.89
10:30:50,-62.89
10:30:51,-63.58
10:30:52,-65.01
10:30:53,-64.71
10:30:54,-64.71
10:30:55,-64.71
10:30:56,-64.01
10:30:57,-63.27
10:30:58,-63.17
10:30:59,-64.87
10:31:00,-64.87
10:31:01,-64.47
10:31:02,-63.75
10:31:03,-63.4
10:31:04,-63.4
10:31:05,-63.4
10:31:06,-62.21
10:31:07,-61.44
10:31:08,-62.54
10:31:09,-62.54
10:31:10,-62.54
10:31:11,???
10:31:12,???
10:31:13,???
10:31:14,???
10:31:15,???
10:31:16,???
10:31:17,???
10:31:18,???
10:31:19,???
10:31:20,???
10:31:21,???
10:31:22,???
10:31:23,???
10:31:24,???
10:31:25,???
10:31:26,???
10:31:27,???
10:31:28,???
10:31:29,???
10:31:30,???
10:31:31,???
10:31:32,???
10:31:33,???
10:31:34,???
10:31:35,???
10:31:36,???
10:31:37,???
10:31:38,???
10:31:39,???
10:31:40,???
10:31:41,???
10:31:42,???
10:31:43,???
10:31:44,???
10:31:45,???
10:31:46,???
10:31:47,???
10:31:48,???
10:31:49,???
10:31:50,???
10:31:51,???
10:31:52,???
10:31:53,???
10:31:54,???
10:31:55,???
10:31:56,???
10:31:57,???
10:31:58,???
10:31:59,???
10:32:00,???
10:32:01,???
10:32:02,???
10:32:03,???
10:32:04,???
10:32:05,???
10:32:06,???
10:32:07,???
10:32:08,???
10:32:09,???
10:32:10,???
10:32:11,???
10:32:12,???
10:32:13,???
10:32:14,???
10:32:15,???
10:32:16,???
10:32:17,???
10:32:18,???
10:32:19,???
10:32:20,???
10:32:21,???
10:32:22,???
10:32:23,???
10:32:24,???
10:32:25,???
10:32:26,???
10:32:27,???
10:32:28,???
10:32:29,???
10:32:30,???
10:32:31,???
10:32:32,???
10:32:33,???
10:32:34,???
10:32:35,???
10:32:36,???
10:32:37,???
10:32:38,???
10:32:39,???
10:32:40,???
10:32:41,???
10:32:42,???
10:32:43,???
10:32:44,???
10:32:45,???
10:32:46,???
10:32:47,???
10:32:48,???
10:32:49,???
10:32:50,???
10:32:51,???
10:32:52,???
10:32:53,???
10:32:54,???
10:32:55,???
10:32:56,???
10:32:57,???
10:32:58,???
10:32:59,???
10:33:00,???
10:33:01,???
10:33:02,???
10:33:03,???
