TIME,MEASURE
08:55:34,???
08:55:35,???
08:55:36,???
08:55:37,???
08:55:38,???
08:55:39,???
08:55:40,???
08:55:41,???
08:55:42,???
08:55:43,???
08:55:44,???
08:55:45,???
08:55:46,???
08:55:47,???
08:55:48,???
08:55:49,???
08:55:50,???
08:55:51,???
08:55:52,???
08:55:53,???
08:55:54,???
08:55:55,???
08:55:56,???
08:55:57,???
08:55:58,???
08:55:59,???
08:56:00,???
08:56:01,???
08:56:02,???
08:56:03,???
08:56:04,???
08:56:05,???
08:56:06,29.34
08:56:07,29.34
08:56:08,30.28
08:56:09,31.34
08:56:10,30.87
08:56:11,30.87
08:56:12,33.33
08:56:13,33.33
08:56:14,33.48
08:56:15,34.72
08:56:16,34.3
08:56:17,33.17
08:56:18,33.05
08:56:19,31.98
08:56:20,???
08:56:21,???
