Date,A Mass flow rate [kg/h]
12/9/2025 12:36:14 PM,109991.931152344
12/9/2025 12:36:15 PM,109991.931152344
12/9/2025 12:36:16 PM,108507.479095459
12/9/2025 12:36:17 PM,111255.104827881
12/9/2025 12:36:18 PM,111576.633453369
12/9/2025 12:36:19 PM,111576.633453369
12/9/2025 12:36:20 PM,111576.633453369
12/9/2025 12:36:21 PM,112015.221405029
12/9/2025 12:36:22 PM,111974.517059326
12/9/2025 12:36:23 PM,110754.773712158
12/9/2025 12:36:24 PM,109854.650115967
12/9/2025 12:36:25 PM,109651.04598999
12/9/2025 12:36:26 PM,109912.438201904
12/9/2025 12:36:27 PM,109875.173950195
12/9/2025 12:36:28 PM,107656.608581543
12/9/2025 12:36:29 PM,107656.608581543
12/9/2025 12:36:30 PM,106229.683685303
12/9/2025 12:36:31 PM,106198.262786865
12/9/2025 12:36:32 PM,105525.391387939
12/9/2025 12:36:33 PM,103702.670288086
12/9/2025 12:36:34 PM,103394.139862061
12/9/2025 12:36:35 PM,103840.56930542
12/9/2025 12:36:36 PM,104922.159576416
12/9/2025 12:36:37 PM,105584.113311768
12/9/2025 12:36:38 PM,106423.880767822
12/9/2025 12:36:39 PM,107689.423370361
12/9/2025 12:36:40 PM,107689.423370361
12/9/2025 12:36:41 PM,105178.786468506
12/9/2025 12:36:42 PM,105178.786468506
12/9/2025 12:36:43 PM,104301.356506348
12/9/2025 12:36:44 PM,104301.356506348
12/9/2025 12:36:45 PM,103875.581359863
12/9/2025 12:36:46 PM,104211.605072021
12/9/2025 12:36:47 PM,105043.853759766
12/9/2025 12:36:48 PM,105308.184814453
12/9/2025 12:36:49 PM,104967.395782471
12/9/2025 12:36:50 PM,104572.869873047
12/9/2025 12:36:51 PM,105563.019561768
12/9/2025 12:36:52 PM,106897.844696045
12/9/2025 12:36:53 PM,107268.901062012
12/9/2025 12:36:54 PM,107677.310943604
12/9/2025 12:36:55 PM,107712.474060059
12/9/2025 12:36:56 PM,108140.789794922
12/9/2025 12:36:57 PM,108524.219512939
12/9/2025 12:36:58 PM,107834.133911133
12/9/2025 12:36:59 PM,107431.079864502
12/9/2025 12:37:00 PM,105803.757476807
12/9/2025 12:37:01 PM,105803.757476807
12/9/2025 12:37:02 PM,104554.790496826
