id_aux_1,id_aux_2,id_aux_3,id,id_vell,source,target,DN,OD,WT,area,x,y
1.0,100.0,1,1-101,PEC,,E-100,200.0,220.0,,0.0380132711084365,1490.0,311.0
1.0,100.0,2,1-102,EI-100,E-100,EI-100,125.0,141.0,,0.015614500886504672,1553.0,345.0
1.0,100.0,3,1-103,EI101,EI-100,EI-101,80.0,88.9,,0.006207166618944348,1534.0,436.0
1.0,100.0,4,1-104,EI102,EI-100,EI-102,80.0,88.9,,0.006207166618944348,1541.0,476.0
1.0,100.0,5,1-105,E150,E-100,E-150,200.0,220.0,,0.0380132711084365,1570.0,380.0
1.0,100.0,6,1-106,ED150,E-150,ED-150,50.0,60.3,,0.0028557784079478277,1600.0,446.0
1.0,100.0,7,1-107,EI150,E-150,EI-150,50.0,60.3,,0.0028557784079478277,1702.0,463.0
1.0,100.0,8,1-108,,EI-101,EI-102,80.0,88.9,,0.006207166618944348,1702.0,463.0
1.0,700.0,1,1-701,E700,,,200.0,220.0,,0.0380132711084365,1702.0,463.0
1.0,700.0,2,1-702,EI733,,,80.0,88.9,,0.006207166618944348,1702.0,463.0
1.0,700.0,3,1-703,ER750,,,,,,0.0,1702.0,463.0
1.0,700.0,4,1-704,ER770,,,,,,0.0,1702.0,463.0
1.0,700.0,5,1-705,EI7X2,,,100.0,114.0,,0.010207034531513238,1702.0,463.0
1.0,700.0,6,1-706,EI772,,,65.0,76.1,,0.004548405697848936,1702.0,463.0
1.0,700.0,7,1-707,EI752,,,80.0,88.9,,0.006207166618944348,1702.0,463.0
1.0,700.0,8,1-708,Y120,,,125.0,141.0,,0.015614500886504672,1702.0,463.0
1.0,800.0,1,1-801,E800,,,155.0,155.0,1.8,0.018433483390497326,1702.0,463.0
1.0,800.0,2,1-802,EI801,,,80.0,88.9,,0.006207166618944348,1702.0,463.0
1.0,800.0,3,1-803,EI806,,,125.0,139.7,,0.015327901242699303,1702.0,463.0
1.0,900.0,1,1-901,EI-9001000,,,204.0,204.0,,0.032685129967948215,1702.0,463.0
1.0,900.0,2,1-902,EI-9001006,,,204.0,204.0,,0.032685129967948215,1702.0,463.0
1.0,900.0,3,1-903,EI-9061006,,,204.0,204.0,,0.032685129967948215,1702.0,463.0
1.0,900.0,4,1-904,EI-9061006,,,155.0,154.0,,0.018626502843133885,1702.0,463.0
1.0,900.0,5,1-905,EI-906,,,155.0,154.0,,0.018626502843133885,1702.0,463.0
1.0,900.0,6,1-906,EI-1001,,,80.0,88.9,,0.006207166618944348,1702.0,463.0
1.0,900.0,7,1-907,EI-901,,,80.0,88.9,,0.006207166618944348,1702.0,463.0
1.0,900.0,8,1-908,EI906,,,125.0,139.7,,0.015327901242699303,1702.0,463.0
1.0,900.0,9,1-909,EI1006,,,125.0,139.7,,0.015327901242699303,1702.0,463.0
2.0,600.0,1,2-601,L650,,,65.0,76.1,,0.004548405697848936,1702.0,463.0
2.0,600.0,2,2-602,LI651,,,43.0,43.0,,0.0014522012041218821,1702.0,463.0
2.0,600.0,3,2-603,LI660,,,50.0,60.3,,0.0028557784079478277,1702.0,463.0
2.0,600.0,4,2-604,L670,,,125.0,139.0,,0.015174677915002103,1702.0,463.0
